#Batch CD-search tool	NIH/NLM/NCBI
#cdsid	QM3-qcdsearch-194AE75FF3EE2664-30FD1143830A51F
#datatype	hitsConcise Results
#status	0
#Start time	2016-01-24T18:31:38	Run time	0:00:02:06
#status	success

Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily
Q#73 - > 2611265	specific	212657	4	152	0.00494548	36.0276	cd00012	NBD_sugar-kinase_HSP70_actin	C	cl17037
Q#73 - > 2611265	superfamily	277496	4	152	0.00494548	36.0276	cl17037	NBD_sugar-kinase_HSP70_actin superfamily	C	 - 
Q#73 - > 2611265	multi-dom	236585	1	328	0	589.732	PRK09604	PRK09604	 - 	 - 
Q#74 - > 2611266	specific	143481	3	363	0	545.169	cd00430	PLPDE_III_AR	 - 	cl00261
Q#74 - > 2611266	superfamily	260308	3	363	0	545.169	cl00261	PLPDE_III superfamily	 - 	 - 
Q#74 - > 2611266	multi-dom	234600	1	362	2.08791e-143	409.566	PRK00053	alr	 - 	 - 
Q#75 - > 2611272	specific	250820	2	196	6.74712e-58	178.58	pfam01728	FtsJ	 - 	cl17173
Q#75 - > 2611272	superfamily	277501	2	196	6.74712e-58	178.58	cl17173	AdoMet_MTases superfamily	 - 	 - 
Q#76 - > 2611684	specific	173833	4	180	6.66709e-60	185.833	cd00685	Trans_IPPS_HT	 - 	cl00210
Q#76 - > 2611684	superfamily	277386	4	180	6.66709e-60	185.833	cl00210	Isoprenoid_Biosyn_C1 superfamily	 - 	 - 
Q#77 - > 2611685	superfamily	277459	1	195	3.93445e-146	407.192	cl10011	Periplasmic_Binding_Protein_Type_1 superfamily	N	 - 
Q#77 - > 2611685	multi-dom	257732	1	191	3.72391e-37	128.188	pfam13407	Peripla_BP_4	N	 - 
Q#78 - > 2611702	specific	213186	3	238	1.98212e-108	310.908	cd03219	ABC_Mj1267_LivG_branched	 - 	cl21455
Q#78 - > 2611702	superfamily	277521	3	238	1.98212e-108	310.908	cl21455	P-loop_NTPase superfamily	 - 	 - 
Q#78 - > 2611702	multi-dom	223488	2	234	1.70598e-110	316.436	COG0411	LivG	 - 	 - 
Q#79 - > 2611432	specific	238034	443	577	3.13479e-33	122.732	cd00079	HELICc	 - 	cl21455
Q#79 - > 2611432	superfamily	277521	443	577	3.13479e-33	122.732	cl21455	P-loop_NTPase superfamily	 - 	 - 
Q#79 - > 2611432	specific	238005	274	410	1.42881e-28	109.734	cd00046	DEXDc	 - 	cl21455
Q#79 - > 2611432	superfamily	277521	274	410	1.42881e-28	109.734	cl21455	P-loop_NTPase superfamily	 - 	 - 
Q#79 - > 2611432	specific	239934	53	124	1.54196e-10	56.0488	cd04488	RecG_wedge_OBF	 - 	cl09930
Q#79 - > 2611432	superfamily	277456	53	124	1.54196e-10	56.0488	cl09930	RPA_2b-aaRSs_OBF_like superfamily	 - 	 - 
Q#79 - > 2611432	multi-dom	236794	1	647	0	970.005	PRK10917	PRK10917	 - 	 - 
Q#80 - > 2611771	specific	132883	5	309	2.26439e-120	347.25	cd07062	Peptidase_S66_mccF_like	 - 	cl00700
Q#80 - > 2611771	superfamily	260579	5	309	2.26439e-120	347.25	cl00700	Peptidase_S66 superfamily	 - 	 - 
Q#81 - > 2611772	specific	206682	171	343	5.69324e-106	309.748	cd01895	EngA2	 - 	cl21455
Q#81 - > 2611772	superfamily	277521	171	343	5.69324e-106	309.748	cl21455	P-loop_NTPase superfamily	 - 	 - 
Q#81 - > 2611772	specific	206681	4	160	3.28764e-97	286.639	cd01894	EngA1	 - 	cl21455
Q#81 - > 2611772	superfamily	277521	4	160	3.28764e-97	286.639	cl21455	P-loop_NTPase superfamily	 - 	 - 
Q#81 - > 2611772	specific	258851	350	430	8.93087e-48	156.822	pfam14714	KH_dom-like	 - 	cl20649
Q#81 - > 2611772	superfamily	258851	350	430	8.93087e-48	156.822	cl20649	KH_dom-like superfamily	 - 	 - 
Q#81 - > 2611772	multi-dom	234628	1	430	0	792.328	PRK00093	PRK00093	 - 	 - 
Q#82 - > 2611769	superfamily	260520	1	107	1.33465e-56	173.847	cl00598	ScpA_ScpB superfamily	C	 - 
Q#83 - > 2611770	specific	238483	1	323	0	616.556	cd00983	recA	 - 	cl21455
Q#83 - > 2611770	superfamily	277521	1	323	0	616.556	cl21455	P-loop_NTPase superfamily	 - 	 - 
Q#83 - > 2611770	multi-dom	236476	1	323	0	675.356	PRK09354	recA	 - 	 - 
Q#84 - > 2611782	superfamily	275550	1	62	5.83766e-32	107.362	cl00360	5-FTHF_cyc-lig superfamily	N	 - 
Q#85 - > 2611562	specific	257854	102	259	2.27997e-20	83.8515	pfam13535	ATP-grasp_4	 - 	cl17255
Q#85 - > 2611562	superfamily	276202	102	259	2.27997e-20	83.8515	cl17255	ATP-grasp_4 superfamily	 - 	 - 
Q#85 - > 2611562	superfamily	277520	2	62	0.00905888	35.295	cl21454	NADB_Rossmann superfamily	C	 - 
Q#86 - > 2611565	specific	238493	1	207	3.05789e-86	251.799	cd01011	nicotinamidase	 - 	cl00220
Q#86 - > 2611565	superfamily	260273	1	207	3.05789e-86	251.799	cl00220	cysteine_hydrolases superfamily	 - 	 - 
